Category,Requirement,Body,Reference
A.7.4 Privacy by design and by default,Temporary files,"The organization shall ensure that temporary files created during processing of PII are disposed of (deleted or made inaccessible) following documented procedures within a specified, documented period.",ISO 27701 A.7.4.6
A.7.4 Privacy by design and by default,Retention,The organization shall not retain PII for longer than is necessary for the purposes for which it is processed and shall implement retention schedules consistent with the lawful basis and applicable law.,ISO 27701 A.7.4.7
A.7.4 Privacy by design and by default,Disposal,"The organization shall have documented procedures for the secure disposal of PII (including from backups and archives) when retention is no longer justified, using methods that prevent reconstruction.",ISO 27701 A.7.4.8
A.7.4 Privacy by design and by default,PII transmission controls,"The organization shall protect PII in transmission against unauthorised access, copying, modification, rerouting, and destruction using appropriate cryptographic and procedural controls.",ISO 27701 A.7.4.9
"A.7.5 PII sharing, transfer, and disclosure",Identify basis for PII transfer between jurisdictions,"The organization shall identify and document the basis (for example, adequacy decision, standard contractual clauses, binding corporate rules, or a specific derogation) for any transfer of PII to recipients in other jurisdictions.",ISO 27701 A.7.5.1
"A.7.5 PII sharing, transfer, and disclosure",Countries and international organizations to which PII can be transferred,"The organization shall record the countries and international organizations to which PII can be transferred, together with the lawful basis for each transfer destination, and make this information available to PII principals on request where required.",ISO 27701 A.7.5.2
"A.7.5 PII sharing, transfer, and disclosure",Records of transfers of PII,"The organization shall keep records of transfers of PII to and from third parties, including the categories of PII, the recipients, the transfer destinations, and the safeguards applied.",ISO 27701 A.7.5.3
"A.7.5 PII sharing, transfer, and disclosure",Records of PII disclosure to third parties,"The organization shall record any disclosure of PII to third parties (including law-enforcement requests), the lawful basis for the disclosure, and the recipient, in a form sufficient to demonstrate compliance.",ISO 27701 A.7.5.4
A.8.2 Conditions for collection and processing (processor),Customer agreement,"The organization, when acting as a PII processor, shall ensure that there is a documented agreement with the customer (PII controller) addressing roles, responsibilities, and the subject matter, nature, and purpose of the processing.",ISO 27701 A.8.2.1
A.8.2 Conditions for collection and processing (processor),Organization's purposes,"The organization shall not process PII for purposes other than those documented in the customer agreement, and any change of purpose requires the controller's authorisation.",ISO 27701 A.8.2.2
A.8.2 Conditions for collection and processing (processor),Marketing and advertising use,"The organization shall not use PII processed under a customer agreement for the purposes of marketing and advertising without the demonstrable authorisation of the PII principal, obtained from either the PII controller or the principal directly.",ISO 27701 A.8.2.3
A.8.2 Conditions for collection and processing (processor),Infringing instruction,"The organization shall inform the customer if, in its opinion, a processing instruction infringes applicable PII protection legislation or regulation.",ISO 27701 A.8.2.4
A.8.2 Conditions for collection and processing (processor),Customer obligations,"The organization shall provide the customer with the appropriate information for the customer to demonstrate compliance with its obligations as a PII controller (for example, records of processing, security measures, and incident notifications).",ISO 27701 A.8.2.5
A.8.2 Conditions for collection and processing (processor),Records related to processing PII,"The organization shall maintain the records necessary to demonstrate compliance with its obligations as a PII processor, including categories of processing, transfers, sub-processors, and the security measures applied.",ISO 27701 A.8.2.6
A.8.3 Obligations to PII principals (processor),Obligations to PII principals,"The organization shall provide the customer with the means to comply with its obligations to PII principals, including responding to access, correction, erasure, restriction, portability, and objection requests in a timely manner.",ISO 27701 A.8.3.1
A.8.4 Privacy by design and by default (processor),Temporary files,"The organization shall ensure that temporary files created in the course of processing PII on behalf of the customer are disposed of in accordance with documented procedures within a specified, documented period.",ISO 27701 A.8.4.1
A.8.4 Privacy by design and by default (processor),"Return, transfer, or disposal of PII","On termination of the customer agreement, the organization shall return, transfer to a new processor, or securely dispose of PII processed under the agreement, as instructed by the customer.",ISO 27701 A.8.4.2
A.8.4 Privacy by design and by default (processor),PII transmission controls,The organization shall protect PII in transmission on behalf of the customer using appropriate cryptographic and procedural controls.,ISO 27701 A.8.4.3
"A.8.5 PII sharing, transfer, and disclosure (processor)",Basis for PII transfer between jurisdictions,"The organization shall identify and document the basis for any transfer of PII to other jurisdictions on behalf of the customer (for example, standard contractual clauses or other Article-46 safeguards) before such transfer takes place.",ISO 27701 A.8.5.1
"A.8.5 PII sharing, transfer, and disclosure (processor)",Countries and international organizations to which PII can be transferred,"The organization shall provide the customer with the list of countries and international organizations to which PII may be transferred when processed on the customer's behalf, sufficiently in advance for the customer to object.",ISO 27701 A.8.5.2
"A.8.5 PII sharing, transfer, and disclosure (processor)",Records of PII disclosure to third parties,"The organization shall record any disclosure of PII to third parties made while acting as a processor (including law-enforcement requests), the lawful basis, and the recipient.",ISO 27701 A.8.5.3
"A.8.5 PII sharing, transfer, and disclosure (processor)",Notification of PII disclosure requests,"The organization shall notify the customer of any legally binding requests for disclosure of PII received from law-enforcement or other authorities, unless prohibited by law from doing so.",ISO 27701 A.8.5.4
"A.8.5 PII sharing, transfer, and disclosure (processor)",Legally binding PII disclosures,"The organization shall reject any requests for PII disclosure that are not legally binding, consult the customer where appropriate, and disclose only what is required by the legally binding instrument.",ISO 27701 A.8.5.5
"A.8.5 PII sharing, transfer, and disclosure (processor)",Disclosure of subcontractors used to process PII,"The organization shall disclose to the customer the identity of any subcontractors used to process PII before they are engaged, including their jurisdiction, the categories of PII processed, and the safeguards applied.",ISO 27701 A.8.5.6
"A.8.5 PII sharing, transfer, and disclosure (processor)",Engagement of a subcontractor to process PII,"The organization shall only engage a subcontractor to process PII on the basis of the customer's prior written authorisation and shall impose on the subcontractor, by contract, the same obligations that bind the organization.",ISO 27701 A.8.5.7
"A.8.5 PII sharing, transfer, and disclosure (processor)",Change of subcontractor to process PII,"The organization shall inform the customer of any intended change concerning the addition or replacement of subcontractors, giving the customer the opportunity to object before the change takes effect.",ISO 27701 A.8.5.8
