"Category","Requirement","Body","Reference"
"Chapter IV - Controller and processor","Cooperation with the supervisory authority","The controller and the processor and, where applicable, their representatives shall cooperate, on request, with the supervisory authority in the performance of its tasks.","GDPR Art. 31"
"Chapter IV - Controller and processor","Security of processing","Taking into account the state of the art, costs of implementation, and the nature, scope, context and purposes of processing as well as the risk to rights and freedoms, the controller and the processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including pseudonymisation and encryption; ongoing confidentiality, integrity, availability and resilience of processing systems; restoration of availability after an incident; and a process for regularly testing and evaluating the effectiveness of measures.","GDPR Art. 32"
"Chapter IV - Controller and processor","Notification of a personal data breach to the supervisory authority","In the case of a personal data breach, the controller shall, without undue delay and where feasible not later than 72 hours after having become aware of it, notify the breach to the competent supervisory authority, unless the breach is unlikely to result in a risk to rights and freedoms. The notification shall describe the nature of the breach, contact details, likely consequences, and measures taken or proposed. The processor shall notify the controller without undue delay.","GDPR Art. 33"
"Chapter IV - Controller and processor","Communication of a personal data breach to the data subject","When the personal data breach is likely to result in a high risk to rights and freedoms of natural persons, the controller shall communicate the breach to the data subject without undue delay, in clear and plain language. Communication is not required where appropriate measures rendered the data unintelligible (e.g. encryption), subsequent measures ensure the high risk is no longer likely, or it would involve disproportionate effort (in which case a public communication is required).","GDPR Art. 34"
"Chapter IV - Controller and processor","Data protection impact assessment","Where a type of processing, in particular using new technologies, is likely to result in a high risk to rights and freedoms, the controller shall, prior to processing, carry out a DPIA. A DPIA is required in particular for systematic and extensive evaluation based on automated processing including profiling; large-scale processing of special categories or criminal data; or systematic monitoring of a publicly accessible area on a large scale. The DPIA shall include a systematic description, assessment of necessity and proportionality, risk assessment, and measures envisaged.","GDPR Art. 35"
"Chapter IV - Controller and processor","Prior consultation","The controller shall consult the supervisory authority prior to processing where a DPIA indicates the processing would result in a high risk in the absence of measures to mitigate it. The supervisory authority shall provide written advice within eight weeks of receipt (extendable by six). When consulting, the controller shall provide specified information.","GDPR Art. 36"
"Chapter IV - Controller and processor","Designation of the data protection officer","The controller and processor shall designate a DPO where processing is carried out by a public authority; core activities consist of regular and systematic monitoring of data subjects on a large scale; or core activities consist of large-scale processing of special categories or criminal data. A group of undertakings may appoint a single DPO. The DPO shall be designated on the basis of professional qualities and expert knowledge.","GDPR Art. 37"
"Chapter IV - Controller and processor","Position of the data protection officer","The controller and processor shall ensure the DPO is involved properly and in a timely manner in all issues relating to protection of personal data; provide necessary resources; ensure the DPO does not receive instructions regarding the exercise of those tasks; ensure no conflict of interests. The DPO shall report directly to the highest management level. Data subjects may contact the DPO regarding processing of their data and the exercise of their rights.","GDPR Art. 38"
"Chapter IV - Controller and processor","Tasks of the data protection officer","The DPO shall at least: inform and advise the controller, processor and employees of their obligations; monitor compliance with this Regulation and with controller/processor policies; provide advice where requested regarding the DPIA and monitor its performance; cooperate with the supervisory authority; act as contact point for the supervisory authority on issues including the prior consultation.","GDPR Art. 39"
"Chapter IV - Controller and processor","Codes of conduct","Member States, the supervisory authorities, the Board and the Commission shall encourage the drawing up of codes of conduct intended to contribute to the proper application of this Regulation, taking account of the specific features of the various processing sectors and the specific needs of micro, small and medium-sized enterprises. Codes may be submitted to the competent supervisory authority for opinion; approved codes may be made generally valid within the Union by the Commission.","GDPR Art. 40"
"Chapter IV - Controller and processor","Monitoring of approved codes of conduct","Without prejudice to the tasks and powers of the supervisory authority, monitoring of compliance with a code of conduct may be carried out by a body which has an appropriate level of expertise and is accredited for that purpose by the competent supervisory authority. The accredited body shall, subject to appropriate safeguards, take action against infringements.","GDPR Art. 41"
"Chapter IV - Controller and processor","Certification","The Member States, the supervisory authorities, the Board and the Commission shall encourage the establishment of data protection certification mechanisms and seals and marks for the purpose of demonstrating compliance. Certification is voluntary and available via a transparent process; it does not reduce the responsibility of the controller or processor. The European Data Protection Seal may be issued.","GDPR Art. 42"
"Chapter IV - Controller and processor","Certification bodies","Certification bodies which have an appropriate level of expertise in relation to data protection shall, after informing the supervisory authority, issue and renew certification, having been accredited. Accreditation is issued by the competent supervisory authority or by the national accreditation body. Certifications shall be issued for a maximum period of three years and may be renewed.","GDPR Art. 43"
"Chapter V - Transfers of personal data to third countries or international organisations","General principle for transfers","Any transfer of personal data which are undergoing processing or are intended for processing after transfer to a third country or to an international organisation shall take place only if, subject to the other provisions of this Regulation, the conditions laid down in this Chapter are complied with by the controller and processor, including for onward transfers from the third country or international organisation.","GDPR Art. 44"
"Chapter V - Transfers of personal data to third countries or international organisations","Transfers on the basis of an adequacy decision","A transfer of personal data to a third country or an international organisation may take place where the Commission has decided that the third country, a territory or one or more specified sectors within it, or the international organisation in question ensures an adequate level of protection. Such a transfer shall not require any specific authorisation. The Commission shall monitor developments and may amend, repeal or suspend a decision.","GDPR Art. 45"
"Chapter V - Transfers of personal data to third countries or international organisations","Transfers subject to appropriate safeguards","In the absence of an adequacy decision, a controller or processor may transfer personal data to a third country or an international organisation only if it has provided appropriate safeguards and on condition that enforceable data subject rights and effective legal remedies are available. Appropriate safeguards may be provided by a legally binding and enforceable instrument between public authorities; binding corporate rules; standard contractual clauses; an approved code of conduct; an approved certification mechanism.","GDPR Art. 46"
"Chapter V - Transfers of personal data to third countries or international organisations","Binding corporate rules","The competent supervisory authority shall approve binding corporate rules provided they are legally binding, apply to and are enforced by every member of the group of undertakings, expressly confer enforceable rights on data subjects, and fulfil the requirements listed (structure, scope, rules, application of principles, rights, liability, complaint procedures, mechanisms, reporting, cooperation with the SA, training).","GDPR Art. 47"
"Chapter V - Transfers of personal data to third countries or international organisations","Transfers or disclosures not authorised by Union law","Any judgment of a court or tribunal and any decision of an administrative authority of a third country requiring a controller or processor to transfer or disclose personal data may only be recognised or enforceable in any manner if based on an international agreement (such as a mutual legal assistance treaty) in force between the requesting third country and the Union or a Member State, without prejudice to other grounds for transfer under this Chapter.","GDPR Art. 48"
"Chapter V - Transfers of personal data to third countries or international organisations","Derogations for specific situations","In the absence of an adequacy decision or appropriate safeguards, a transfer or set of transfers to a third country or international organisation shall take place only on one of the conditions: explicit consent after being informed of the risks; necessity for performance of a contract with the subject or pre-contractual measures; necessity for a contract concluded in the subject's interest; important reasons of public interest; legal claims; vital interests where the subject cannot give consent; transfer from a public register.","GDPR Art. 49"
"Chapter V - Transfers of personal data to third countries or international organisations","International cooperation for the protection of personal data","In relation to third countries and international organisations, the Commission and supervisory authorities shall take appropriate steps to develop international cooperation mechanisms to facilitate the effective enforcement of legislation; provide international mutual assistance; engage relevant stakeholders; and promote the exchange and documentation of legislation and practice including on jurisdictional conflicts.","GDPR Art. 50"
"Chapter VI - Independent supervisory authorities","Supervisory authority","Each Member State shall provide for one or more independent public authorities to be responsible for monitoring the application of this Regulation, in order to protect the fundamental rights and freedoms of natural persons in relation to processing and to facilitate the free flow of personal data within the Union. Each supervisory authority shall contribute to the consistent application of this Regulation throughout the Union.","GDPR Art. 51"
"Chapter VI - Independent supervisory authorities","Independence","Each supervisory authority shall act with complete independence in performing its tasks and exercising its powers. The member(s) of each SA shall, in the performance of their tasks and exercise of their powers, remain free from external influence, whether direct or indirect, and shall neither seek nor take instructions from anybody. Each SA shall be provided with the human, technical and financial resources, premises and infrastructure necessary.","GDPR Art. 52"
"Chapter VI - Independent supervisory authorities","General conditions for the members of the supervisory authority","Member States shall provide that each member of their supervisory authorities is appointed by means of a transparent procedure by their parliament, government, head of State, or an independent body. Each member shall have the qualifications, experience and skills, in particular in the area of the protection of personal data, required to perform their duties and exercise their powers. The duties shall end in the event of the expiry of the term of office, resignation, or compulsory retirement.","GDPR Art. 53"
"Chapter VI - Independent supervisory authorities","Rules on the establishment of the supervisory authority","Each Member State shall provide by law for the establishment of each supervisory authority; qualifications and eligibility conditions; rules and procedures for appointment of members; duration of term (at least four years, except the first appointments); whether and how many times members are eligible for reappointment; conditions governing obligations including incompatible occupations, activities and benefits during and after term, and rules governing cessation of employment.","GDPR Art. 54"
"Chapter VI - Independent supervisory authorities","Competence","Each supervisory authority shall be competent for the performance of the tasks assigned to and the exercise of the powers conferred on it in accordance with this Regulation on the territory of its own Member State. Where processing is carried out by public authorities or private bodies acting on the basis of public interest or official authority, the supervisory authority of the Member State concerned shall be competent. Supervisory authorities shall not be competent to supervise processing operations of courts acting in their judicial capacity.","GDPR Art. 55"
"Chapter VI - Independent supervisory authorities","Competence of the lead supervisory authority","Without prejudice to Article 55, the supervisory authority of the main establishment or of the single establishment of the controller or processor shall be competent to act as lead supervisory authority for the cross-border processing carried out by that controller or processor in accordance with the cooperation procedure in Article 60. Any supervisory authority concerned may handle a complaint where the subject matter relates only to an establishment in its Member State or substantially affects data subjects only in its Member State.","GDPR Art. 56"
"Chapter VI - Independent supervisory authorities","Tasks","Each supervisory authority shall on its territory: monitor and enforce application; promote public awareness; advise the national parliament, government and other institutions; promote controllers' and processors' awareness; provide information on the exercise of rights; handle complaints; cooperate with other SAs; conduct investigations; monitor relevant developments; adopt SCCs; establish and maintain a DPIA list; provide opinions on processing; encourage codes of conduct and certification; accredit certification bodies; authorise contractual clauses and BCRs; contribute to Board activities; keep internal records; fulfil any other tasks.","GDPR Art. 57"
"Chapter VI - Independent supervisory authorities","Powers","Each supervisory authority shall have investigative powers (to order provision of information, conduct audits, review certifications, notify infringements, obtain access to premises and equipment); corrective powers (to issue warnings, reprimands, order compliance with requests, order compliance with this Regulation, order rectification or erasure, impose temporary or definitive limitations including bans, order suspension of data flows, impose administrative fines); and authorisation and advisory powers.","GDPR Art. 58"
"Chapter VI - Independent supervisory authorities","Activity reports","Each supervisory authority shall draw up an annual report on its activities, which may include a list of types of infringement notified and types of measures taken in accordance with Article 58(2). Those reports shall be transmitted to the national parliament, the government and other authorities as designated by Member State law. They shall be made available to the public, to the Commission and to the Board.","GDPR Art. 59"
"Chapter VII - Cooperation and consistency","Cooperation between the lead supervisory authority and the other supervisory authorities concerned","The lead supervisory authority shall cooperate with the other supervisory authorities concerned in accordance with this Article in an endeavour to reach consensus. The lead SA and the SAs concerned shall exchange all relevant information with each other. The lead SA may request at any time other SAs concerned to provide mutual assistance and may conduct joint operations. The lead SA shall, without delay, communicate the relevant information on the matter to the other SAs concerned and submit a draft decision.","GDPR Art. 60"
"Chapter VII - Cooperation and consistency","Mutual assistance","Supervisory authorities shall provide each other with relevant information and mutual assistance in order to implement and apply this Regulation in a consistent manner, and shall put in place measures for effective cooperation. Mutual assistance shall cover, in particular, information requests and supervisory measures, such as requests to carry out prior authorisations and consultations, inspections and investigations. The requested SA shall reply without undue delay and no later than one month.","GDPR Art. 61"
"Chapter VII - Cooperation and consistency","Joint operations of supervisory authorities","Supervisory authorities shall, where appropriate, conduct joint operations including joint investigations and joint enforcement measures in which members or staff of other Member States' SAs are involved. Where the controller or processor has establishments in several Member States or where a significant number of data subjects in more than one Member State are likely to be substantially affected by processing operations, an SA of each of those Member States shall have the right to participate.","GDPR Art. 62"
"Chapter VII - Cooperation and consistency","Consistency mechanism","In order to contribute to the consistent application of this Regulation throughout the Union, the supervisory authorities shall cooperate with each other and, where relevant, with the Commission, through the consistency mechanism as set out in this Section.","GDPR Art. 63"
"Chapter VII - Cooperation and consistency","Opinion of the Board","The Board shall issue an opinion whenever a competent supervisory authority intends to adopt any of certain measures, including DPIA lists, codes of conduct, certification criteria, accreditation of certification bodies, standard contractual clauses, or binding corporate rules. Any SA, the Chair of the Board, or the Commission may also request that any matter of general application or producing effects in more than one Member State be examined by the Board with a view to obtaining an opinion.","GDPR Art. 64"
"Chapter VII - Cooperation and consistency","Dispute resolution by the Board","In order to ensure the correct and consistent application of this Regulation in individual cases, the Board shall adopt a binding decision in cases including where a supervisory authority concerned has raised a relevant and reasoned objection to a draft decision of the lead SA and the lead SA has not followed the objection; where there are conflicting views on which of the SAs concerned is competent for the main establishment; or where a competent SA does not request the opinion of the Board.","GDPR Art. 65"
"Chapter VII - Cooperation and consistency","Urgency procedure","In exceptional circumstances, where a supervisory authority concerned considers that there is an urgent need to act in order to protect the rights and freedoms of data subjects, it may, by way of derogation from the consistency mechanism, immediately adopt provisional measures intended to produce legal effects on its own territory with a specified period of validity not exceeding three months. The SA shall, without delay, communicate those measures and the reasons for adopting them to the other SAs concerned, to the Board and to the Commission.","GDPR Art. 66"
"Chapter VII - Cooperation and consistency","Exchange of information","The Commission may adopt implementing acts of general scope in order to specify the arrangements for the exchange of information by electronic means between supervisory authorities, and between supervisory authorities and the Board, in particular the standardised format referred to in Article 64.","GDPR Art. 67"
"Chapter VII - Cooperation and consistency","European Data Protection Board","The European Data Protection Board is hereby established as a body of the Union and shall have legal personality. The Board shall be represented by its Chair. The Board shall be composed of the head of one supervisory authority of each Member State and of the European Data Protection Supervisor, or their respective representatives. Where in a Member State more than one SA is responsible, a joint representative shall be appointed.","GDPR Art. 68"
"Chapter VII - Cooperation and consistency","Independence","The Board shall act independently when performing its tasks or exercising its powers pursuant to Articles 70 and 71. Without prejudice to requests by the Commission referred to in Articles 70(1)(b) and (2) and 70(4), the Board shall, in the performance of its tasks or the exercise of its powers, neither seek nor take instructions from anybody.","GDPR Art. 69"
"Chapter VII - Cooperation and consistency","Tasks of the Board","The Board shall ensure the consistent application of this Regulation; advise the Commission; issue guidelines, recommendations, and best practices on a wide range of topics (erasure, breach notification, automated decision-making, DPIAs, certification, BCRs, transfers, etc.); examine on its own initiative or at the request of a member any question concerning application; promote cooperation; review the practical application of guidelines; promote common training programmes and exchanges; promote the exchange of knowledge and documentation.","GDPR Art. 70"
"Chapter VII - Cooperation and consistency","Reports","The Board shall draw up an annual report regarding the protection of natural persons with regard to processing in the Union and, where relevant, in third countries and international organisations. The report shall be made public and be transmitted to the European Parliament, to the Council and to the Commission. The annual report shall include a review of the practical application of the guidelines, recommendations and best practices referred to in Article 70(1)(l) as well as of the binding decisions referred to in Article 65.","GDPR Art. 71"
"Chapter VII - Cooperation and consistency","Procedure","The Board shall take decisions by a simple majority of its members, unless otherwise provided for in this Regulation. The Board shall adopt its own rules of procedure by a two-thirds majority of its members and organise its own operational arrangements.","GDPR Art. 72"
"Chapter VII - Cooperation and consistency","Chair","The Board shall elect a chair and two deputy chairs from amongst its members by simple majority. The term of office of the Chair and of the deputy chairs shall be five years and be renewable once.","GDPR Art. 73"
"Chapter VII - Cooperation and consistency","Tasks of the Chair","The Chair shall have the following tasks: to convene the meetings of the Board and prepare its agenda; to notify decisions adopted by the Board pursuant to Article 65 to the lead supervisory authority and the supervisory authorities concerned; to ensure the timely performance of the tasks of the Board, in particular in relation to the consistency mechanism referred to in Article 63.","GDPR Art. 74"
"Chapter VII - Cooperation and consistency","Secretariat","The Board shall have a secretariat, which shall be provided by the European Data Protection Supervisor. The secretariat shall perform its tasks exclusively under the instructions of the Chair of the Board. The staff of the EDPS involved in carrying out the tasks conferred on the Board shall be subject to separate reporting lines from the staff involved in carrying out tasks conferred on the EDPS.","GDPR Art. 75"
"Chapter VII - Cooperation and consistency","Confidentiality","The discussions of the Board shall be confidential where the Board deems it necessary, as provided for in its rules of procedure. Access to documents submitted to members of the Board, experts and representatives of third parties shall be governed by Regulation (EC) No 1049/2001 of the European Parliament and of the Council.","GDPR Art. 76"
"Chapter VIII - Remedies, liability and penalties","Right to lodge a complaint with a supervisory authority","Without prejudice to any other administrative or judicial remedy, every data subject shall have the right to lodge a complaint with a supervisory authority, in particular in the Member State of his or her habitual residence, place of work or place of the alleged infringement, if the data subject considers that the processing of personal data relating to him or her infringes this Regulation. The supervisory authority shall inform the complainant on the progress and outcome.","GDPR Art. 77"
"Chapter VIII - Remedies, liability and penalties","Right to an effective judicial remedy against a supervisory authority","Without prejudice to any other administrative or non-judicial remedy, each natural or legal person shall have the right to an effective judicial remedy against a legally binding decision of a supervisory authority concerning them. Each data subject shall also have the right where the SA does not handle a complaint or does not inform the data subject within three months on the progress or outcome. Proceedings shall be brought before the courts of the Member State where the SA is established.","GDPR Art. 78"
"Chapter VIII - Remedies, liability and penalties","Right to an effective judicial remedy against a controller or processor","Without prejudice to any available administrative or non-judicial remedy, each data subject shall have the right to an effective judicial remedy where they consider that their rights under this Regulation have been infringed as a result of processing in non-compliance with this Regulation. Proceedings shall be brought before the courts of the Member State where the controller or processor has an establishment, or where the data subject has their habitual residence (unless the controller or processor is a public authority acting in the exercise of its public powers).","GDPR Art. 79"
"Chapter VIII - Remedies, liability and penalties","Representation of data subjects","The data subject shall have the right to mandate a not-for-profit body, organisation or association which has been properly constituted in accordance with the law of a Member State, has statutory objectives which are in the public interest, and is active in the field of the protection of data subjects' rights and freedoms with regard to the protection of their personal data, to lodge the complaint on his or her behalf and to exercise the rights referred to in Articles 77, 78 and 79.","GDPR Art. 80"
"Chapter VIII - Remedies, liability and penalties","Suspension of proceedings","Where a competent court of a Member State has information on proceedings concerning the same subject matter as regards processing by the same controller or processor that are pending in a court in another Member State, it shall contact that court to confirm the existence of such proceedings. Where proceedings concerning the same subject matter and the same controller or processor are pending in a court in another Member State, any competent court other than the court first seized may suspend its proceedings.","GDPR Art. 81"
"Chapter VIII - Remedies, liability and penalties","Right to compensation and liability","Any person who has suffered material or non-material damage as a result of an infringement of this Regulation shall have the right to receive compensation from the controller or processor for the damage suffered. Any controller involved in processing shall be liable for the damage caused by processing which infringes this Regulation. A processor shall be liable only where it has not complied with obligations specifically directed to processors or where it has acted outside or contrary to lawful instructions of the controller.","GDPR Art. 82"
"Chapter VIII - Remedies, liability and penalties","General conditions for imposing administrative fines","Each supervisory authority shall ensure that the imposition of administrative fines for infringements is in each individual case effective, proportionate and dissuasive. Fines shall be imposed in addition to or instead of other corrective measures. Infringements of certain provisions are subject to administrative fines up to 10,000,000 EUR or 2 percent of total worldwide annual turnover, whichever is higher. Infringements of other provisions (basic principles, data subject rights, transfers, etc.) up to 20,000,000 EUR or 4 percent of total worldwide annual turnover.","GDPR Art. 83"
"Chapter VIII - Remedies, liability and penalties","Penalties","Member States shall lay down the rules on other penalties applicable to infringements of this Regulation, in particular for infringements which are not subject to administrative fines pursuant to Article 83, and shall take all measures necessary to ensure that they are implemented. Such penalties shall be effective, proportionate and dissuasive. Each Member State shall notify the Commission of the provisions of its law which it adopts.","GDPR Art. 84"
"Chapter IX - Provisions relating to specific processing situations","Processing and freedom of expression and information","Member States shall by law reconcile the right to the protection of personal data pursuant to this Regulation with the right to freedom of expression and information, including processing for journalistic purposes and the purposes of academic, artistic or literary expression. For processing carried out for those purposes, Member States shall provide for exemptions or derogations from specified chapters if they are necessary to reconcile the right to the protection of personal data with the freedom of expression and information.","GDPR Art. 85"
"Chapter IX - Provisions relating to specific processing situations","Processing and public access to official documents","Personal data in official documents held by a public authority or a public body or a private body for the performance of a task carried out in the public interest may be disclosed by the authority or body in accordance with Union or Member State law to which the public authority or body is subject, in order to reconcile public access to official documents with the right to the protection of personal data pursuant to this Regulation.","GDPR Art. 86"
